"시도별(1)","규모별(1)","시점",공장수 (개사)
"강원도","대기업","2016.1/2",0
"강원도","대기업","2016.2/2",-1
"강원도","대기업","2017.1/2",-2
"강원도","중기업","2006.1/2",
"강원도","중기업","2006.2/2",4
"강원도","중기업","2007.1/2",5
"강원도","중기업","2007.2/2",-5
"강원도","중기업","2008.2/2",
"강원도","중기업","2009.1/2",4
"강원도","중기업","2009.2/2",3
"강원도","중기업","2010.1/2",6
"강원도","중기업","2010.2/2",7
"강원도","중기업","2011.1/2",0
"강원도","중기업","2011.2/2",5
"강원도","중기업","2012.1/2",9
"강원도","중기업","2012.2/2",8
"강원도","중기업","2013.1/2",-3
"강원도","중기업","2013.2/2",2
"강원도","중기업","2014.1/2",3
"강원도","중기업","2014.2/2",5
"강원도","중기업","2015.1/2",1
"강원도","중기업","2015.2/2",2
"강원도","중기업","2016.1/2",5
"강원도","중기업","2016.2/2",2
"강원도","중기업","2017.1/2",6
"강원도","소기업","2006.1/2",
"강원도","소기업","2006.2/2",72
"강원도","소기업","2007.1/2",81
"강원도","소기업","2007.2/2",100
"강원도","소기업","2008.2/2",
"강원도","소기업","2009.1/2",82
"강원도","소기업","2009.2/2",55
"강원도","소기업","2010.1/2",78
"강원도","소기업","2010.2/2",167
"강원도","소기업","2011.1/2",0
"강원도","소기업","2011.2/2",63
"강원도","소기업","2012.1/2",27
"강원도","소기업","2012.2/2",60
"강원도","소기업","2013.1/2",85
"강원도","소기업","2013.2/2",132
"강원도","소기업","2014.1/2",50
"강원도","소기업","2014.2/2",97
"강원도","소기업","2015.1/2",100
"강원도","소기업","2015.2/2",102
"강원도","소기업","2016.1/2",15
"강원도","소기업","2016.2/2",53
"강원도","소기업","2017.1/2",11
"충청북도","대기업","2006.1/2",
"충청북도","대기업","2006.2/2",-2
"충청북도","대기업","2007.1/2",-7
"충청북도","대기업","2007.2/2",10
"충청북도","대기업","2008.2/2",
"충청북도","대기업","2009.1/2",9
"충청북도","대기업","2009.2/2",12
"충청북도","대기업","2010.1/2",9
"충청북도","대기업","2010.2/2",-11
"충청북도","대기업","2011.1/2",0
"충청북도","대기업","2011.2/2",1
"충청북도","대기업","2012.1/2",-18
"충청북도","대기업","2012.2/2",-15
"충청북도","대기업","2013.1/2",-10
"충청북도","대기업","2013.2/2",3
"충청북도","대기업","2014.1/2",7
"충청북도","대기업","2014.2/2",8
"충청북도","대기업","2015.1/2",-3
