시도별,경제활동별,항목,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
세종특별자치시,　금융 및 보험업,실질,,,,,,,163791,180938,221643,273085,332620,379949,427228,465719,517193,546595
세종특별자치시,　금융 및 보험업,실질기여도,0,0,0,0,0,0,0,0.27,0.51,0.56,0.59,0.46,0.45,0.33,0.4,0.21
세종특별자치시,　부동산업,명목,,,,,,,374670,471232,549520,606865,648492,710113,792030,910266,1090465,1079441
세종특별자치시,　부동산업,실질,,,,,,,397933,487648,549520,597933,630936,687193,759753,863484,912792,973838
세종특별자치시,　부동산업,실질기여도,0,0,0,0,0,0,0,1.29,0.72,0.52,0.34,0.54,0.68,0.91,0.41,0.52
세종특별자치시,　사업서비스업,명목,,,,,,,228294,350314,456877,463927,483093,543469,598119,606706,686786,813304
세종특별자치시,　사업서비스업,실질,,,,,,,239351,362771,456877,453599,454558,501526,538244,528081,572147,656906
세종특별자치시,　사업서비스업,실질기여도,0,0,0,0,0,0,0,1.8,1.09,-0.04,0.01,0.47,0.36,-0.1,0.4,0.73
세종특별자치시,"　공공 행정, 국방 및 사회보장 행정",명목,,,,,,,898217,1600131,2088279,2211862,2470165,2728134,3168814,3535741,3963036,4207508
세종특별자치시,"　공공 행정, 국방 및 사회보장 행정",실질,,,,,,,932586,1633644,2088279,2142226,2298940,2457113,2806228,3041529,3355081,3428309
세종특별자치시,"　공공 행정, 국방 및 사회보장 행정",실질기여도,0,0,0,0,0,0,0,10.33,5.34,0.58,1.62,1.6,3.49,2.24,2.87,0.62
세종특별자치시,　교육 서비스업,명목,,,,,,,325092,371012,454702,519787,589690,665210,737553,794080,873487,892934
세종특별자치시,　교육 서비스업,실질,,,,,,,341257,378136,454702,510018,567657,630755,683780,732431,795687,807639
세종특별자치시,　교육 서비스업,실질기여도,0,0,0,0,0,0,0,0.54,0.9,0.6,0.59,0.62,0.5,0.44,0.54,0.09
세종특별자치시,　보건업 및 사회복지 서비스업,명목,,,,,,,98637,115598,129783,164137,183924,224170,273339,316287,412169,469042
세종특별자치시,　보건업 및 사회복지 서비스업,실질,,,,,,,102603,118368,129783,161412,176781,214141,259483,295898,382855,435397
세종특별자치시,　보건업 및 사회복지 서비스업,실질기여도,0,0,0,0,0,0,0,0.23,0.13,0.34,0.16,0.37,0.43,0.32,0.73,0.4
세종특별자치시,　문화 및 기타서비스업,명목,,,,,,,57365,72196,81527,101359,127076,161234,182450,195068,225163,253832
세종특별자치시,　문화 및 기타서비스업,실질,,,,,,,61649,75242,81527,97645,118774,144561,158885,162918,186204,203989
세종특별자치시,　문화 및 기타서비스업,실질기여도,0,0,0,0,0,0,0,0.19,0.07,0.17,0.22,0.26,0.14,0.04,0.22,0.15
경기도,지역내총생산(시장가격),명목,221225028,235058658,248016323,278532130,292825058,311414578,333380088,351734517,381978306,407437529,451426420,479822189,477413452,491298336,529210829,546816496
경기도,지역내총생산(시장가격),실질,255550481,268221081,273835863,300716256,313748238,327820620,346430719,362159526,381978306,399827962,426172886,451914662,462288338,470022670,498358681,516358207
경기도,지역내총생산(시장가격),실질기여도,5.27,4.96,2.09,9.82,4.33,4.49,5.68,4.54,5.47,4.67,6.59,6.04,2.3,1.67,6.03,3.61
